square_contain_id	geometry
237286.0	POINT (3375236.118944389 8380535.794499369)
306197.0	POINT (3386678.326398395 8369733.659395088)
255070.0	POINT (3370058.415289309 8377725.222482643)
198597.0	POINT (3392025.115098209 8386632.467430915)
145485.0	POINT (3367971.193950492 8394977.428123713)
212981.0	POINT (3365357.538053163 8384358.523347442)
208605.0	POINT (3373650.955622365 8385066.163020402)
88840.0	POINT (3372726.266479606 8403819.8435179)
199584.0	POINT (3363351.066058459 8386436.655061401)
336698.0	POINT (3379253.968906207 8364969.042107183)
195289.0	POINT (3379695.362720839 8387165.070438113)
161454.0	POINT (3372311.540896521 8392443.397206293)
206718.0	POINT (3376054.102176991 8385407.208754211)
190813.0	POINT (3378051.154338648 8387889.031422542)
187684.0	POINT (3383621.477474032 8388364.257135212)
201040.0	POINT (3381565.477578839 8386293.643123955)
195229.0	POINT (3373706.953010909 8387149.269571988)
206761.0	POINT (3380280.903242412 8385389.432269503)
202886.0	POINT (3375034.653686924 8385957.790314535)
193365.0	POINT (3378451.376750929 8387500.957182079)
140964.0	POINT (3361759.132118026 8395663.827712227)
157028.0	POINT (3375608.947900905 8393123.535302797)
135981.0	POINT (3373071.791169531 8396505.386516046)
248738.0	POINT (3373781.176917792 8378812.831813621)
300358.0	POINT (3376165.545354872 8370666.716232422)
208642.0	POINT (3377346.521465102 8385076.128764131)
174318.0	POINT (3384680.661534261 8390453.724873785)
350705.0	POINT (3378546.545575853 8362724.505496432)
236623.0	POINT (3372583.592217835 8380696.116192358)
210562.0	POINT (3378254.299140062 8384740.434973171)
81024.0	POINT (3355528.235228092 8405095.196063401)
248866.0	POINT (3386654.805313567 8378779.024416226)
285633.0	POINT (3368713.323892824 8372946.293899825)
216880.0	POINT (3373038.457171401 8383809.718413806)
233636.0	POINT (3392376.879112009 8381170.951812374)
202249.0	POINT (3375014.235977992 8386053.461750771)
259802.0	POINT (3397275.206823658 8377022.577001456)
211710.0	POINT (3365615.830474657 8384597.41617736)
132682.0	POINT (3361638.450758244 8396986.318887874)
226456.0	POINT (3375097.099535271 8382303.485785155)
138000.0	POINT (3383802.749720958 8396138.270252775)
206716.0	POINT (3375837.402112503 8385360.491821931)
253209.0	POINT (3375046.660785313 8378046.967329071)
202263.0	POINT (3376430.362055873 8386058.302052809)
174857.0	POINT (3374963.152944217 8390415.778950056)
256513.0	POINT (3386895.046466996 8377584.686408452)
165294.0	POINT (3374087.086774675 8391907.38784397)
227170.0	POINT (3382834.349722228 8382189.030630318)
142962.0	POINT (3370391.500070666 8395368.164551297)
229039.0	POINT (3378582.99255675 8381834.460528001)
65405.0	POINT (3386153.377443016 8407534.379923347)
212481.0	POINT (3379042.680649895 8384421.26444186)
195267.0	POINT (3377504.995814271 8387147.309693613)
207372.0	POINT (3377762.856360668 8385231.667846652)
212482.0	POINT (3379094.237470556 8384509.549864926)
206737.0	POINT (3377883.6560642 8385337.872773631)
69718.0	POINT (3371555.882519112 8406880.671162682)
202891.0	POINT (3375515.315841552 8385964.967740845)
192884.0	POINT (3394056.058757136 8387614.005834712)
219444.0	POINT (3374666.842734755 8383320.151592003)
209246.0	POINT (3374006.936741303 8384947.256011073)
207335.0	POINT (3373991.352012592 8385284.996287779)
175543.0	POINT (3379821.153745436 8390297.370154733)
192113.0	POINT (3380648.841577474 8387704.521330297)
213125.0	POINT (3379712.951200385 8384402.015886058)
192077.0	POINT (3377023.76387083 8387676.813060657)
307995.0	POINT (3375375.053283153 8369434.559039755)
195227.0	POINT (3373483.735134575 8387181.962167137)
225860.0	POINT (3379254.687161826 8382354.847232389)
192743.0	POINT (3379952.510744572 8387558.47996717)
236043.0	POINT (3378340.604517885 8380768.136828561)
146826.0	POINT (3374625.527730261 8394739.627248434)
246827.0	POINT (3373844.436845575 8379036.595241072)
308474.0	POINT (3359658.779810373 8369334.584456465)
111771.0	POINT (3372589.839623505 8400276.695862798)
215703.0	POINT (3382725.479260233 8383956.34426247)
137817.0	POINT (3365479.565744262 8396215.057146545)
206702.0	POINT (3374456.667484108 8385402.764629011)
210519.0	POINT (3373952.207370815 8384793.486657633)
174169.0	POINT (3369873.537749167 8390458.235729791)
198486.0	POINT (3380957.238890642 8386638.944602873)
245749.0	POINT (3393395.115900551 8379307.725442933)
189529.0	POINT (3377006.626324278 8388021.55878454)
178086.0	POINT (3379278.471227819 8389890.226822013)
208001.0	POINT (3376925.959824129 8385183.591298961)
209882.0	POINT (3373879.446881089 8384850.264774897)
266168.0	POINT (3396947.226675475 8376056.495628417)
206080.0	POINT (3375952.31557532 8385511.82847963)
262342.0	POINT (3396554.593291367 8376708.328210324)
167824.0	POINT (3372372.766616458 8391487.05923545)
354694.0	POINT (3395244.469194844 8362170.716757462)
177433.0	POINT (3377761.83454793 8390005.308817659)
349920.0	POINT (3363714.352485584 8362894.83902543)
66008.0	POINT (3382721.0264806 8407467.517776219)
207378.0	POINT (3378280.491992857 8385236.111868668)
97230.0	POINT (3383669.023264196 8402581.538548846)
127594.0	POINT (3362408.075468212 8397719.222325176)
222626.0	POINT (3374319.913293044 8382829.466793961)
67910.0	POINT (3381840.756219169 8407134.644631762)
214393.0	POINT (3379094.237470556 8384138.519835046)
200985.0	POINT (3376006.754947403 8386303.696976515)
200349.0	POINT (3376165.545354872 8386391.648531315)
203536.0	POINT (3376282.321359748 8385906.141553566)
98513.0	POINT (3384516.87701161 8402368.963153062)
142887.0	POINT (3362953.662567378 8395355.818096714)
285839.0	POINT (3389331.879078773 8373007.737381382)
100348.0	POINT (3376959.59122341 8402025.80947659)
